wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,115,8.76,5.98,40,26,19.65,3.93,9,2,5,1,1,1
1,116,9.19,5.52,56,23,18.256,4,21,2,3,1,4,1
1,117,8.79,7.03,48,33,17.445,8.23,19,2,3,1,2,0
1,119,7.85,4.13,41,26,19.879,7.13,9,1,5,2,1,1
1,120,7.81,6.48,24,28,19.56,3.03,11,2,5,1,1,1
1,121,5.14,2.32,41,25,19.43,3.47,18,1,5,1,1,0
1,122,9.01,4.82,25,31,21.565,11.77,13,1,5,2,1,1
1,123,5.47,3.59,37,31,21.228,7.05,16,1,5,2,1,0
1,124,5.2,2.24,32,28,23.31,6.04,15,1,5,1,4,0
1,125,11.31,10.19,27,29,19.53,4.48,13,2,3,1,4,0
1,126,10.95,6.98,35,30,22.547,6.58,15,2,3,1,4,1
1,127,6.14,6.44,44,27,21.766,8.7,16,2,5,2,1,1
1,128,8.11,5.1,22,34,24.219,6.8,21,2,5,2,4,1
1,130,9.61,8.51,33,29,20.029,10.94,16,2,5,1,1,1
1,132,8.38,7.77,35,25,19.141,5.25,16,1,5,1,1,0
1,133,7.59,6.25,38,26,20.029,4.63,21,1,5,1,1,1
1,134,5.94,3.79,43,28,19.94,2.23,8,2,5,2,3,1
1,135,8.02,5.86,41,29,18.66,2.87,7,1,5,1,1,1
1,136,6.3,4.32,44,34,16.49,12.39,22,2,3,2,1,1
1,137,5.72,4.03,27,28,26.898,3.67,19,2,3,1,1,1
1,139,7.47,4.55,32,27,21.514,5.92,27,1,5,2,1,1
1,140,8.09,3.93,59,27,20.703,13.92,21,1,5,1,1,0
1,141,6.48,3.82,36,26,18.671,4.02,13,2,3,1,4,1
1,142,5.7,7.61,25,28,16.975,6.61,22,1,5,1,4,1
1,143,6.91,5.65,27,31,22.942,7.93,14,1,5,2,1,1
1,144,9.02,4.36,36,28,17.631,2.85,13,2,5,2,1,1
1,145,6.67,3.24,51,33,23.733,2.46,11,2,5,2,1,0
1,146,6.72,4.08,37,25,24.768,8.09,14,2,3,1,2,0
1,147,6.61,6.82,27,27,21.708,14.48,25,1,5,2,2,0
1,148,7.07,7.28,32,26,23.53,8.13,25,1,5,2,1,1
1,149,9.97,8.17,64,29,22.761,3.72,14,2,3,1,4,1
1,152,7.15,4.91,27,31,21.231,2.49,16,2,3,1,1,1
1,153,5.92,4.69,33,25,24.435,9,22,2,3,1,2,0
1,154,5.51,3.26,40,30,21.875,7.41,24,1,5,2,1,1
1,157,7.99,9.7,57,30,20.661,7.93,27,1,5,1,2,0
1,158,5.92,4.32,31,29,23.533,3.98,31,2,3,1,1,0
1,159,9.31,6.25,16,25,19.234,3.54,12,1,5,2,1,1
1,162,7.86,5.44,56,29,18.31,4.82,10,2,3,1,4,1
1,163,7.85,1.81,36,31,22.03,7.34,9,2,5,1,1,1
1,164,11.37,6.2,64,25,20.109,2.24,8,2,3,1,6,1
1,165,9.08,3.87,38,21,19.22,4.19,11,1,5,1,4,1
1,166,7.64,9.84,23,25,20.812,6.58,16,2,3,1,2,1
1,167,9.23,6.8,39,31,20.57,10.05,20,2,5,2,4,0
1,169,9.06,4.41,21,31,18.591,4.88,13,1,5,2,4,1
1,170,6.51,6.24,71,32,20.701,8.2,23,2,3,1,1,1
1,172,8.29,6.36,29,34,19.47,7.12,19,2,3,1,4,0
1,173,10.8,8.96,44,26,16.561,2.1,11,2,3,1,1,0
1,174,7.77,4.31,31,31,22.074,4.33,10,2,3,1,4,1
